id,treatment,region,segment,converted,revenue_before,revenue,session_minutes,period
32,control,west,segment_a,no,129.65,157.26,7.28,2026-03-13
33,control,north,segment_a,no,64.86,79.84,7.83,2026-03-19
34,variant,east,segment_c,no,171.33,232.23,18.83,2026-02-07
35,control,east,segment_c,yes,48.86,56.77,22.11,2026-02-24
36,variant,west,segment_c,yes,173.94,260.59,29.21,2026-03-18
37,variant,east,segment_c,yes,128.91,191.25,20.34,2026-03-14
38,control,south,segment_c,no,77.38,90.85,1.77,2026-02-28
39,control,south,segment_a,no,61.44,64.02,13.59,2026-01-15
40,variant,south,segment_a,yes,302.91,417.23,1.92,2026-02-13
41,control,north,segment_c,yes,77.65,85.80,13.81,2026-02-05
42,variant,north,segment_c,no,105.12,161.72,26.10,2026-03-29
43,variant,south,segment_b,no,163.24,243.37,13.89,2026-03-16
44,variant,north,segment_a,no,48.39,67.01,24.35,2026-02-15
45,variant,west,segment_a,no,68.62,104.56,37.72,2026-03-25
46,variant,west,segment_b,yes,111.66,149.30,31.49,2026-02-02
47,control,west,segment_c,no,78.20,88.99,3.65,2026-02-16
48,variant,east,segment_c,no,124.37,168.57,11.30,2026-02-07
49,variant,east,segment_b,yes,113.41,141.68,15.98,2026-01-09
50,control,north,segment_b,no,33.43,41.65,12.80,2026-03-24
51,variant,west,segment_c,no,83.97,119.35,16.46,2026-02-25
52,variant,west,segment_c,yes,70.51,104.35,7.73,2026-03-13
53,control,south,segment_c,no,71.70,73.63,15.61,2026-01-10
54,control,east,segment_a,no,81.12,98.40,8.84,2026-03-13
55,control,east,segment_b,no,99.46,114.08,11.47,2026-02-19
56,control,west,segment_b,yes,197.61,218.36,5.12,2026-02-05
57,variant,east,segment_b,no,162.03,250.45,12.67,2026-03-31
58,control,east,segment_c,yes,41.78,52.93,28.01,2026-03-31
59,variant,west,segment_c,yes,254.35,350.34,17.32,2026-02-13
60,variant,north,segment_c,yes,45.58,58.78,0.84,2026-01-20
61,control,west,segment_a,no,213.95,237.06,8.71,2026-02-06
62,variant,west,segment_a,yes,250.14,323.48,26.95,2026-01-21
63,variant,north,segment_b,yes,58.41,74.25,22.01,2026-01-15
64,variant,east,segment_b,yes,96.05,128.79,1.94,2026-02-03
65,control,west,segment_b,no,351.07,442.70,9.21,2026-03-29
66,control,west,segment_c,no,229.75,238.71,9.19,2026-01-14
67,variant,south,segment_a,no,118.32,175.10,4.66,2026-03-13
68,control,west,segment_a,no,133.30,163.69,6.65,2026-03-18
69,variant,north,segment_a,yes,129.59,200.31,13.81,2026-03-31
70,variant,south,segment_b,yes,148.41,223.42,3.29,2026-03-20
71,control,north,segment_a,no,218.70,232.48,0.89,2026-01-22
72,variant,east,segment_b,no,93.07,135.68,33.91,2026-03-07
73,variant,west,segment_b,no,303.00,391.84,1.59,2026-01-21
74,control,east,segment_b,no,154.33,183.96,2.36,2026-03-06
75,control,north,segment_c,no,157.64,158.12,17.78,2026-01-02
76,variant,east,segment_a,no,123.69,162.67,12.08,2026-01-27
77,control,east,segment_c,no,71.91,81.61,8.24,2026-02-15
78,control,east,segment_b,no,58.75,68.97,26.89,2026-02-28
79,control,west,segment_c,yes,130.93,150.18,3.69,2026-02-19
80,variant,south,segment_b,yes,118.55,164.15,6.59,2026-02-15
81,control,west,segment_c,yes,139.39,162.38,1.06,2026-02-25
82,control,east,segment_c,no,133.15,137.55,5.62,2026-01-12
83,control,north,segment_a,no,180.62,222.34,3.10,2026-03-19
84,control,south,segment_a,no,95.93,110.90,6.38,2026-02-22
85,control,west,segment_b,no,53.67,63.65,13.00,2026-03-04
86,control,north,segment_b,yes,77.11,92.61,13.13,2026-03-09
87,variant,west,segment_c,no,96.93,144.50,4.40,2026-03-16
88,control,west,segment_a,no,52.54,59.79,2.77,2026-02-16
89,variant,west,segment_a,no,153.28,187.00,4.41,2026-01-01
90,control,east,segment_a,no,40.91,48.52,9.12,2026-03-04
91,control,west,segment_c,yes,141.83,159.27,1.66,2026-02-11
92,variant,west,segment_a,yes,95.74,131.86,2.87,2026-02-13
93,control,south,segment_c,no,74.47,82.06,0.12,2026-02-04
94,control,west,segment_b,no,189.36,192.20,16.16,2026-01-06
95,variant,west,segment_a,no,229.54,286.76,7.44,2026-01-09
96,control,west,segment_c,no,325.29,351.64,6.79,2026-01-28
97,control,west,segment_a,no,142.74,171.43,7.46,2026-03-09
98,variant,north,segment_a,no,59.02,90.80,0.42,2026-03-29
99,control,south,segment_c,yes,171.53,174.11,5.50,2026-01-06
100,control,south,segment_b,no,170.15,172.19,13.88,2026-01-05
101,variant,east,segment_b,no,69.00,94.78,4.62,2026-02-12
102,variant,east,segment_c,no,83.85,105.97,6.37,2026-01-13
103,variant,south,segment_a,no,68.50,96.86,15.53,2026-02-23
104,variant,south,segment_a,no,49.58,75.18,19.79,2026-03-23
105,variant,north,segment_c,yes,41.88,63.81,23.17,2026-03-25
106,variant,west,segment_a,no,127.67,186.13,20.65,2026-03-07
107,control,south,segment_a,yes,106.70,113.42,23.73,2026-01-22
108,variant,west,segment_a,no,83.51,112.28,2.94,2026-02-04
109,control,east,segment_a,no,108.42,136.71,15.68,2026-03-29
110,control,south,segment_a,no,108.48,132.89,9.12,2026-03-17
111,variant,north,segment_b,no,83.22,111.88,24.14,2026-02-04
112,control,east,segment_c,yes,88.24,104.39,8.26,2026-03-03
113,variant,north,segment_a,no,54.24,75.30,9.13,2026-02-16
114,control,west,segment_c,no,99.46,120.64,6.67,2026-03-13
115,variant,west,segment_b,no,147.91,197.77,29.56,2026-02-02
116,variant,east,segment_c,yes,80.86,105.45,11.18,2026-01-24
117,variant,west,segment_a,yes,303.75,421.71,16.20,2026-02-16
118,control,east,segment_c,no,86.86,98.33,32.99,2026-02-14
119,control,west,segment_a,no,57.73,61.19,0.02,2026-01-21
120,variant,west,segment_b,yes,38.78,52.42,12.01,2026-02-06
121,control,south,segment_c,yes,39.04,40.09,41.45,2026-01-10
122,variant,north,segment_c,no,100.60,154.03,23.17,2026-03-27
123,variant,east,segment_b,yes,106.15,146.21,1.26,2026-02-13
124,variant,south,segment_b,yes,50.92,71.07,41.70,2026-02-18
125,control,east,segment_c,yes,317.82,350.24,16.40,2026-02-04
126,control,north,segment_c,no,161.28,180.15,0.79,2026-02-09
127,variant,east,segment_c,no,163.03,244.83,7.72,2026-03-19
128,variant,east,segment_a,no,101.23,124.62,16.26,2026-01-04
129,control,south,segment_a,no,82.77,96.93,12.29,2026-02-27
130,variant,north,segment_b,yes,51.56,79.14,3.32,2026-03-28
131,control,south,segment_c,no,421.50,424.02,2.45,2026-01-03
132,control,north,segment_c,no,45.36,50.39,19.73,2026-02-07
133,control,south,segment_b,no,122.08,154.31,0.01,2026-03-30
134,control,north,segment_c,no,109.55,123.35,29.46,2026-02-12
135,control,south,segment_a,no,71.89,80.52,38.73,2026-02-10
136,variant,west,segment_a,no,144.16,199.62,14.44,2026-02-15
137,variant,south,segment_c,yes,118.55,176.74,17.01,2026-03-16
138,variant,north,segment_c,no,138.41,205.83,20.79,2026-03-15
139,variant,north,segment_c,yes,71.53,100.09,16.57,2026-02-19
140,variant,east,segment_b,yes,111.39,143.64,19.45,2026-01-20
141,variant,south,segment_c,yes,80.76,111.83,8.70,2026-02-15
142,variant,west,segment_c,yes,81.85,125.61,39.06,2026-03-28
143,control,north,segment_c,no,100.86,116.59,7.85,2026-02-22
144,control,north,segment_c,yes,135.08,167.90,24.71,2026-03-23
145,control,south,segment_b,yes,133.45,165.48,17.00,2026-03-22
146,control,west,segment_b,no,145.89,155.51,12.65,2026-01-23
147,control,west,segment_b,no,203.84,221.58,2.61,2026-01-30
148,control,west,segment_b,no,69.98,75.65,15.62,2026-01-28
149,variant,south,segment_b,no,71.22,104.09,15.33,2026-03-08
150,control,south,segment_c,yes,120.22,150.52,0.44,2026-03-26
151,control,south,segment_c,yes,101.24,114.30,4.44,2026-02-13
152,control,north,segment_b,yes,59.79,71.63,18.00,2026-03-08
153,control,west,segment_b,yes,119.83,122.34,2.63,2026-01-08
154,variant,south,segment_c,yes,83.32,112.02,20.29,2026-02-04
155,variant,north,segment_b,yes,92.73,114.49,30.32,2026-01-05
156,variant,east,segment_a,yes,107.69,137.30,1.41,2026-01-16
157,variant,north,segment_c,yes,130.27,175.13,16.63,2026-02-04
158,control,west,segment_a,no,110.19,138.95,5.32,2026-03-29
159,variant,north,segment_b,yes,94.10,121.00,40.48,2026-01-19
160,control,east,segment_b,no,93.87,111.04,10.14,2026-03-03
161,variant,south,segment_b,yes,41.75,58.73,17.68,2026-02-21
162,control,east,segment_c,no,57.44,70.01,8.84,2026-03-15
163,control,south,segment_b,no,129.74,135.96,21.05,2026-01-17
164,control,west,segment_a,no,131.42,145.22,6.83,2026-02-05
165,control,north,segment_b,no,89.63,105.22,15.61,2026-02-28
166,variant,south,segment_c,yes,160.11,239.29,21.99,2026-03-17
167,control,south,segment_a,no,140.94,162.92,4.33,2026-02-22
168,control,west,segment_b,yes,43.14,43.27,17.51,2026-01-02
169,variant,north,segment_a,no,43.34,58.58,15.39,2026-02-06
170,variant,south,segment_a,no,195.96,259.87,3.94,2026-01-30
171,control,south,segment_c,no,56.58,59.81,7.08,2026-01-20
172,control,east,segment_b,yes,41.92,42.43,11.98,2026-01-05
173,control,north,segment_a,yes,55.11,66.19,8.47,2026-03-09
174,control,west,segment_a,yes,152.82,176.66,7.51,2026-02-22
175,variant,north,segment_a,no,50.27,76.97,25.59,2026-03-27
176,control,east,segment_b,no,78.87,98.04,2.48,2026-03-23
177,variant,south,segment_b,yes,149.34,208.98,12.36,2026-02-19
178,control,east,segment_a,no,203.66,213.43,12.45,2026-01-17
179,variant,east,segment_c,no,87.01,116.02,38.36,2026-02-01
180,control,east,segment_c,no,77.30,93.53,39.20,2026-03-12
181,variant,east,segment_a,no,89.34,131.56,16.27,2026-03-11
182,control,north,segment_c,yes,263.14,312.87,3.02,2026-03-05
183,variant,east,segment_b,no,89.13,133.20,5.40,2026-03-17
184,variant,south,segment_a,yes,104.02,155.46,6.13,2026-03-17
185,variant,west,segment_c,no,162.63,231.74,12.14,2026-02-26
186,variant,west,segment_a,no,101.21,139.78,4.10,2026-02-14
187,control,north,segment_c,no,199.73,241.07,7.31,2026-03-11
188,variant,west,segment_c,no,91.72,119.29,7.91,2026-01-23
189,control,south,segment_a,yes,248.93,273.58,25.53,2026-02-03
190,variant,north,segment_a,yes,47.36,60.73,19.19,2026-01-18
191,control,north,segment_b,no,45.41,57.13,0.08,2026-03-28
192,variant,west,segment_a,no,259.85,347.45,7.72,2026-02-02
193,control,east,segment_a,no,197.39,215.75,7.22,2026-02-01
194,control,west,segment_a,yes,193.67,220.39,13.77,2026-02-16
195,control,west,segment_b,no,224.48,271.62,8.30,2026-03-12
196,variant,south,segment_b,no,116.31,161.05,67.90,2026-02-15
197,control,west,segment_c,no,69.04,73.81,7.54,2026-01-24
198,control,east,segment_b,no,127.92,159.39,11.43,2026-03-24
199,variant,south,segment_a,yes,35.82,54.97,14.13,2026-03-28
200,control,east,segment_a,no,159.14,177.76,16.04,2026-02-09
201,variant,east,segment_c,yes,196.29,266.77,13.02,2026-02-08
202,variant,east,segment_c,yes,77.36,103.15,67.94,2026-02-01
203,control,south,segment_b,no,201.03,243.85,15.44,2026-03-13
204,control,east,segment_a,yes,111.19,116.19,52.95,2026-01-16
205,variant,east,segment_a,no,171.27,231.51,0.30,2026-02-06
206,control,north,segment_a,no,97.55,118.91,20.42,2026-03-15
207,variant,east,segment_b,no,140.41,177.47,5.12,2026-01-13
208,control,east,segment_a,yes,53.60,67.75,0.99,2026-03-30
209,control,south,segment_a,no,65.52,65.52,22.42,2026-01-01
210,control,north,segment_a,no,151.01,177.74,17.16,2026-03-01
211,control,south,segment_a,no,78.12,79.76,4.78,2026-01-08
212,control,west,segment_c,yes,86.63,102.48,30.24,2026-03-03
213,variant,east,segment_b,yes,75.74,104.88,7.63,2026-02-15
214,control,east,segment_c,no,153.94,191.35,14.49,2026-03-23
215,control,south,segment_c,no,123.61,132.51,1.36,2026-01-25
216,control,north,segment_a,no,36.86,39.63,3.73,2026-01-26
217,variant,east,segment_a,no,83.61,104.76,24.74,2026-01-10
218,variant,east,segment_c,yes,87.11,125.08,15.20,2026-03-01
219,control,west,segment_b,yes,208.20,246.93,18.96,2026-03-04
220,control,west,segment_c,no,124.93,137.67,18.97,2026-02-04
221,control,west,segment_a,no,302.17,336.61,9.21,2026-02-08
222,control,west,segment_a,no,126.33,147.17,15.05,2026-02-25
223,control,east,segment_a,yes,86.64,103.28,18.03,2026-03-06
224,variant,east,segment_b,no,124.67,162.14,1.23,2026-01-23
225,control,west,segment_b,yes,327.87,408.52,13.20,2026-03-24
226,control,east,segment_b,yes,100.95,123.66,30.43,2026-03-17
227,variant,west,segment_c,yes,140.67,183.98,30.04,2026-01-25
228,control,south,segment_b,yes,63.09,68.58,8.50,2026-01-30
229,control,north,segment_c,yes,115.94,140.99,36.26,2026-03-14
230,control,west,segment_a,no,281.27,330.21,5.28,2026-02-28
231,control,west,segment_a,yes,130.79,145.31,11.18,2026-02-07
232,control,east,segment_a,yes,78.92,81.76,5.52,2026-01-13
233,control,north,segment_b,yes,33.37,40.68,8.14,2026-03-15
234,control,north,segment_b,no,42.47,50.75,2.34,2026-03-07
235,control,south,segment_c,yes,155.25,183.66,0.17,2026-03-03
236,control,south,segment_b,yes,122.11,153.98,2.45,2026-03-29
237,variant,south,segment_c,no,36.22,46.58,30.25,2026-01-19
238,control,west,segment_b,yes,56.93,68.20,5.77,2026-03-08
239,control,south,segment_b,no,64.71,77.53,3.42,2026-03-08
240,variant,north,segment_c,no,221.57,331.14,33.28,2026-03-17
241,control,south,segment_c,no,112.51,113.19,0.87,2026-01-03
242,variant,south,segment_c,no,99.42,141.31,14.18,2026-02-25
243,variant,south,segment_c,yes,380.28,494.56,5.27,2026-01-23
244,variant,west,segment_a,no,210.97,326.11,5.98,2026-03-31
245,control,south,segment_b,no,144.98,158.90,10.42,2026-02-02
246,control,west,segment_c,yes,154.81,184.07,1.14,2026-03-05
247,variant,west,segment_c,yes,95.63,136.27,9.29,2026-02-26
248,control,north,segment_a,no,51.83,61.47,8.24,2026-03-04
249,control,south,segment_b,no,141.80,172.43,16.31,2026-03-14
250,control,south,segment_a,no,84.22,103.17,13.14,2026-03-17
251,control,south,segment_a,yes,46.11,48.60,13.47,2026-01-19
252,variant,west,segment_a,no,62.24,87.55,0.79,2026-02-21
253,variant,south,segment_b,no,156.76,210.76,22.19,2026-02-04
254,variant,north,segment_a,no,219.34,306.93,31.92,2026-02-19
255,control,north,segment_a,no,70.11,76.84,23.01,2026-02-02
256,control,west,segment_b,no,103.48,106.90,1.45,2026-01-12
257,control,north,segment_b,no,48.13,53.76,1.35,2026-02-09
258,control,north,segment_a,no,50.86,63.98,22.79,2026-03-28
259,control,south,segment_c,no,136.42,138.88,4.94,2026-01-07
260,variant,north,segment_c,yes,73.46,104.14,18.57,2026-02-24
261,control,west,segment_a,no,196.95,217.64,14.43,2026-02-05
262,control,west,segment_c,yes,271.58,286.25,14.18,2026-01-19
263,variant,east,segment_a,no,81.23,113.97,10.73,2026-02-20
264,control,north,segment_b,no,77.41,77.88,12.30,2026-01-03
265,variant,west,segment_c,no,271.39,390.69,0.40,2026-03-02
266,variant,east,segment_c,no,280.04,365.23,9.94,2026-01-24
267,control,west,segment_a,no,386.16,441.76,4.53,2026-02-18
268,variant,north,segment_b,no,98.21,150.01,22.75,2026-03-26
269,control,north,segment_c,yes,100.75,112.53,6.32,2026-02-09
270,variant,north,segment_b,yes,172.58,217.49,10.22,2026-01-12
271,variant,east,segment_b,no,103.08,139.72,39.97,2026-02-07
272,variant,north,segment_c,yes,71.46,97.38,9.09,2026-02-09
273,variant,east,segment_b,no,242.48,346.42,4.87,2026-02-27
274,control,west,segment_c,yes,124.95,154.56,1.74,2026-03-21
275,control,south,segment_b,no,160.47,174.43,5.80,2026-01-30
276,variant,north,segment_b,yes,205.10,263.74,18.81,2026-01-19
277,variant,west,segment_b,no,233.91,359.00,27.77,2026-03-28
278,variant,north,segment_c,yes,76.23,117.00,3.99,2026-03-28
279,variant,east,segment_b,no,51.11,71.70,10.10,2026-02-20
280,variant,south,segment_a,no,88.26,123.19,5.47,2026-02-18
281,control,north,segment_b,yes,81.76,84.46,21.73,2026-01-12
282,variant,south,segment_b,no,83.80,114.81,12.41,2026-02-11
283,variant,south,segment_a,yes,204.30,253.73,15.57,2026-01-07
284,variant,west,segment_b,yes,178.93,238.59,5.99,2026-02-01
285,control,west,segment_b,no,256.58,324.32,6.15,2026-03-30
286,control,south,segment_b,no,108.54,130.03,4.70,2026-03-08
287,control,west,segment_a,yes,93.29,114.57,1.76,2026-03-18
288,control,north,segment_a,yes,124.49,125.61,23.03,2026-01-04
289,control,south,segment_b,yes,40.02,43.99,19.15,2026-02-03
290,control,north,segment_a,no,46.71,54.13,19.18,2026-02-23
291,control,west,segment_b,no,235.59,244.07,7.60,2026-01-13
292,control,north,segment_a,yes,316.84,390.98,4.17,2026-03-20
293,control,east,segment_a,yes,173.90,217.72,6.44,2026-03-26
294,variant,west,segment_b,no,36.31,49.61,15.03,2026-02-10
295,control,north,segment_b,no,79.45,89.46,30.99,2026-02-12
296,control,east,segment_a,no,83.88,97.97,12.38,2026-02-26
297,variant,west,segment_a,no,299.14,382.47,0.04,2026-01-17
298,control,south,segment_c,no,101.09,123.23,5.24,2026-03-15
299,variant,west,segment_a,yes,222.41,293.32,19.34,2026-01-28
300,control,north,segment_a,no,96.35,103.87,9.80,2026-01-27
301,variant,north,segment_b,yes,108.12,163.16,19.12,2026-03-21
302,variant,south,segment_a,yes,60.32,93.24,17.99,2026-03-31
303,control,south,segment_a,no,94.94,95.22,3.18,2026-01-02
304,variant,south,segment_a,no,83.81,117.89,17.11,2026-02-21
305,variant,west,segment_c,no,78.67,106.92,8.02,2026-02-08
306,control,west,segment_b,yes,94.90,100.31,3.29,2026-01-20
307,control,east,segment_c,no,262.49,312.89,2.71,2026-03-06
308,control,east,segment_a,yes,81.17,97.25,2.64,2026-03-08
309,control,south,segment_b,no,55.58,67.92,11.27,2026-03-16
310,control,north,segment_b,no,74.84,78.43,3.88,2026-01-17
311,control,west,segment_a,yes,70.45,72.14,13.88,2026-01-09
312,control,south,segment_b,no,157.34,169.14,14.73,2026-01-26
313,variant,south,segment_b,yes,94.30,119.53,19.56,2026-01-14
314,variant,east,segment_a,no,128.58,173.34,5.34,2026-02-05
315,variant,east,segment_a,no,56.19,78.83,15.54,2026-02-20
316,variant,south,segment_b,no,59.35,73.71,14.82,2026-01-07
317,control,east,segment_a,no,101.83,115.88,12.14,2026-02-16
318,control,south,segment_b,no,117.46,124.16,4.83,2026-01-20
319,variant,west,segment_b,yes,97.07,126.24,6.55,2026-01-23
320,control,north,segment_b,no,52.12,57.60,2.72,2026-02-05
321,variant,east,segment_a,no,127.73,192.77,9.40,2026-03-21
322,variant,east,segment_b,yes,137.57,212.15,13.59,2026-03-30
323,control,west,segment_a,no,153.34,170.36,9.17,2026-02-07
324,control,west,segment_b,no,80.21,80.21,11.60,2026-01-01
325,variant,north,segment_b,yes,176.30,215.08,45.14,2026-01-01
326,control,north,segment_b,yes,50.94,52.92,12.51,2026-01-14
327,control,south,segment_c,yes,87.70,104.53,15.80,2026-03-06
328,control,north,segment_a,no,124.58,132.43,5.70,2026-01-22
329,variant,west,segment_c,no,99.15,148.90,22.44,2026-03-19
330,variant,east,segment_c,yes,175.25,216.37,15.72,2026-01-05
331,control,north,segment_c,yes,193.73,229.77,9.05,2026-03-04
332,control,east,segment_b,yes,229.91,268.54,30.62,2026-02-26
333,variant,south,segment_a,yes,143.56,215.07,4.75,2026-03-18
334,control,east,segment_c,yes,171.73,207.79,25.75,2026-03-12
335,control,north,segment_c,no,258.29,288.51,1.38,2026-02-09
336,control,east,segment_a,no,282.98,327.12,15.12,2026-02-22
337,variant,south,segment_b,yes,133.28,204.07,4.71,2026-03-27
338,control,east,segment_c,yes,94.55,102.77,29.04,2026-01-30
339,control,north,segment_b,no,222.93,277.10,17.58,2026-03-23
340,variant,west,segment_b,no,84.30,107.17,11.25,2026-01-15
341,variant,north,segment_b,no,65.82,101.73,2.47,2026-03-31
342,variant,west,segment_a,no,79.09,121.67,40.40,2026-03-29
343,control,west,segment_b,yes,59.90,70.69,9.84,2026-03-02
344,control,east,segment_b,no,149.32,182.91,11.84,2026-03-17
345,control,west,segment_a,no,147.05,156.75,15.83,2026-01-23
346,variant,south,segment_c,yes,100.85,140.39,17.88,2026-02-17
347,variant,south,segment_c,yes,88.18,134.69,42.35,2026-03-26
348,control,north,segment_c,yes,89.90,91.78,22.89,2026-01-08
349,control,west,segment_a,no,102.00,103.83,7.96,2026-01-07
350,control,north,segment_a,no,129.41,154.25,27.38,2026-03-06
351,control,north,segment_a,no,107.05,117.33,18.31,2026-02-02
352,control,west,segment_c,no,116.64,134.14,5.52,2026-02-20
353,variant,north,segment_b,yes,87.71,133.33,15.76,2026-03-24
354,variant,north,segment_c,no,30.06,37.77,18.61,2026-01-11
355,variant,south,segment_a,no,85.93,114.58,15.42,2026-02-01
356,variant,south,segment_c,no,43.90,57.09,28.74,2026-01-23
357,variant,north,segment_a,yes,71.80,93.91,18.10,2026-01-25
358,variant,south,segment_b,no,118.80,146.67,32.29,2026-01-05
359,control,north,segment_c,yes,132.45,156.69,0.16,2026-03-03
360,variant,north,segment_c,yes,79.31,99.66,7.60,2026-01-11
361,control,west,segment_a,no,115.38,141.68,25.89,2026-03-18
362,variant,north,segment_b,yes,17.25,22.87,22.13,2026-01-30
363,variant,east,segment_a,no,90.96,133.94,35.42,2026-03-11
364,control,south,segment_c,no,98.60,110.43,3.55,2026-02-10
365,variant,east,segment_b,no,54.71,74.56,20.81,2026-02-09
366,control,east,segment_b,no,79.92,100.30,25.65,2026-03-27
367,control,south,segment_c,no,53.25,53.73,15.12,2026-01-04
368,variant,north,segment_c,no,253.63,324.27,14.69,2026-01-17
369,variant,north,segment_c,yes,154.03,218.92,8.22,2026-02-25
370,variant,south,segment_b,no,86.28,107.47,29.95,2026-01-08
371,control,west,segment_c,yes,91.02,105.49,12.90,2026-02-23
372,variant,north,segment_c,yes,118.62,174.24,20.95,2026-03-10
373,variant,north,segment_b,no,68.31,104.33,3.43,2026-03-26
374,variant,east,segment_b,no,74.71,107.28,16.09,2026-03-01
375,control,north,segment_a,no,49.26,57.53,8.20,2026-02-26
376,variant,west,segment_c,yes,86.60,118.96,17.87,2026-02-12
377,control,west,segment_a,no,56.83,63.48,1.79,2026-02-09
378,control,west,segment_c,yes,105.35,114.19,1.50,2026-01-29
379,variant,north,segment_b,no,99.02,151.61,24.78,2026-03-27
380,control,north,segment_c,no,86.09,97.46,12.93,2026-02-14
381,variant,south,segment_a,no,113.63,165.66,4.38,2026-03-07
382,control,east,segment_b,no,184.34,196.50,1.03,2026-01-23
383,control,west,segment_a,no,118.92,141.04,1.54,2026-03-04
384,variant,west,segment_b,no,108.43,152.12,0.67,2026-02-20
385,control,east,segment_b,no,110.32,132.83,19.84,2026-03-10
386,control,east,segment_a,no,227.97,271.74,12.46,2026-03-06
387,variant,north,segment_c,yes,97.56,149.02,6.53,2026-03-26
388,variant,west,segment_a,no,212.15,292.99,1.41,2026-02-14
389,variant,east,segment_c,no,123.12,161.93,3.54,2026-01-27
390,variant,south,segment_a,no,38.11,56.25,7.22,2026-03-12
391,control,east,segment_c,yes,106.12,120.76,14.45,2026-02-16
392,control,north,segment_b,no,119.09,145.17,9.45,2026-03-15
393,variant,south,segment_a,no,271.63,371.16,19.83,2026-02-10
394,variant,west,segment_a,no,57.70,76.73,7.01,2026-01-31
395,variant,north,segment_c,no,75.56,93.56,34.20,2026-01-06
396,control,west,segment_b,no,113.43,116.15,11.93,2026-01-09
397,variant,north,segment_a,no,96.66,137.38,9.10,2026-02-25
398,variant,south,segment_b,no,50.90,76.82,23.72,2026-03-21
399,variant,south,segment_a,yes,157.82,194.27,4.56,2026-01-04
400,control,east,segment_b,no,69.41,83.37,8.71,2026-03-09
