id,region,occupation,label,category,price,income,signup_date
186,west,analyst,1,C,29.48,24155.57,2024-12-31
187,west,writer,0,E,17.94,25001.63,2025-04-07
188,south,analyst,0,D,113.04,17166.23,2024-10-21
189,west,engineer,0,C,44.32,30671.92,2024-09-16
190,north,analyst,0,B,18.95,55128.71,2024-05-03
191,south,artist,0,D,5.42,35003.60,2024-03-03
192,south,nurse,0,C,25.23,36800.49,2025-01-23
193,east,analyst,0,B,61.36,62155.04,2024-09-25
194,south,writer,0,D,33.85,21174.03,2025-01-15
195,south,analyst,0,B,25.47,87561.45,2024-04-19
196,west,artist,0,B,46.74,29888.73,2024-11-01
197,east,manager,1,A,25.68,24803.95,2025-04-29
198,north,manager,0,D,98.21,66279.29,2024-04-15
199,west,writer,1,C,80.73,39257.78,2025-03-26
200,south,driver,0,D,27.55,57457.35,2025-03-19
201,west,analyst,0,C,20.86,28923.44,2025-02-10
202,south,driver,0,B,19.20,51707.66,2024-05-09
203,north,analyst,1,D,9.76,28601.91,2025-01-14
204,west,engineer,0,C,57.53,55141.70,2024-02-04
205,west,analyst,1,A,68.70,35205.93,2024-07-03
206,north,artist,0,B,35.00,35082.55,2024-01-24
207,south,manager,0,C,174.64,120358.89,2025-02-15
208,east,artist,0,A,45.19,35615.38,2024-08-29
209,west,writer,0,E,27.84,33050.21,2024-01-14
210,north,engineer,0,A,28.74,12756.30,2024-01-29
211,south,analyst,0,D,59.94,34318.52,2024-07-07
212,west,writer,1,A,11.36,45120.96,2024-04-01
213,south,engineer,0,E,29.13,20798.45,2024-01-24
214,east,nurse,1,D,21.73,129283.07,2025-02-04
215,west,analyst,0,C,34.47,48749.82,2025-01-10
216,south,writer,0,D,58.30,26202.22,2024-08-08
217,east,artist,0,C,15.30,37634.09,2024-03-05
218,east,nurse,0,E,11.93,19150.69,2025-03-13
219,south,nurse,0,D,17.79,31770.78,2024-12-14
220,south,artist,0,A,85.53,86693.64,2024-05-29
221,east,nurse,0,B,35.39,21151.97,2024-09-04
222,west,analyst,0,E,36.21,20684.51,2024-06-19
223,south,engineer,0,B,35.64,40367.78,2024-09-17
224,south,artist,0,D,64.62,32786.37,2025-03-20
225,south,nurse,1,D,47.01,21852.20,2024-02-16
226,north,teacher,1,C,146.98,73657.32,2024-02-05
227,east,writer,0,C,30.54,63051.53,2024-06-01
228,north,driver,0,D,82.81,66022.75,2025-04-28
229,west,writer,0,C,31.09,19351.32,2024-07-25
230,south,analyst,0,B,22.21,15332.62,2024-02-18
231,west,analyst,1,C,4.98,51929.55,2024-12-02
232,west,teacher,1,D,39.80,77177.11,2024-10-26
233,south,manager,0,A,27.34,19190.19,2024-05-01
234,north,nurse,0,A,19.76,48712.06,2024-04-29
235,west,engineer,0,D,18.52,32182.94,2024-12-18
236,north,engineer,0,E,21.31,21211.00,2024-02-15
237,north,engineer,0,E,33.89,37217.79,2024-01-02
238,west,analyst,0,A,38.15,62992.28,2024-12-04
239,north,driver,0,C,14.81,77812.41,2024-04-28
240,north,artist,0,A,13.39,23654.78,2025-05-03
241,east,engineer,1,A,27.74,35118.70,2024-10-26
242,east,nurse,0,C,12.24,32681.91,2024-06-19
243,west,analyst,0,C,80.31,47001.48,2025-04-24
244,south,writer,0,D,32.23,29936.54,2024-04-24
245,west,artist,0,D,49.10,26000.08,2024-11-09
246,south,writer,0,B,49.91,45051.27,2025-02-19
247,north,manager,0,B,36.50,34851.34,2024-04-13
248,east,manager,0,A,72.19,28176.12,2024-03-02
249,south,teacher,1,A,126.88,39603.02,2024-02-12
250,north,engineer,0,B,46.99,59578.59,2024-06-24
251,east,teacher,0,E,27.07,18878.81,2024-12-01
252,west,engineer,0,D,51.41,15781.50,2025-05-13
253,west,writer,0,E,32.00,27201.01,2024-12-19
254,north,artist,1,A,47.14,39715.68,2024-10-05
255,west,writer,1,D,30.18,35206.23,2024-03-21
256,north,analyst,1,E,93.09,37232.40,2024-06-18
257,south,teacher,0,D,33.39,125977.43,2024-02-20
258,east,engineer,0,C,15.40,40352.18,2024-11-02
259,south,artist,0,D,80.12,43270.62,2024-03-27
260,north,engineer,1,B,8.05,53754.91,2024-12-22
261,east,driver,1,C,35.95,48057.62,2024-06-20
262,west,nurse,1,A,15.45,41055.60,2025-02-27
263,north,manager,0,C,6.68,29838.15,2024-11-19
264,south,engineer,0,A,92.73,36032.53,2024-03-25
265,north,artist,0,D,46.69,36486.25,2024-01-05
266,north,driver,0,C,74.07,74153.34,2024-08-28
267,west,manager,0,B,47.31,24582.96,2025-02-24
268,west,nurse,0,B,13.50,37917.97,2024-06-07
269,west,teacher,0,A,85.71,55402.38,2024-03-11
270,west,nurse,0,D,13.51,19824.06,2024-04-04
271,west,manager,0,C,80.91,45497.30,2024-10-13
272,north,driver,0,C,19.57,13497.48,2024-11-13
273,north,engineer,0,C,25.70,15210.89,2025-03-08
274,west,writer,1,E,31.41,32044.24,2024-03-07
275,south,nurse,1,D,73.55,32276.57,2024-02-11
276,north,engineer,0,C,37.04,69680.51,2024-03-26
277,west,writer,0,B,85.43,36449.75,2024-03-25
278,north,driver,1,C,32.98,44831.59,2024-03-10
279,west,analyst,0,E,132.42,25905.88,2024-06-11
280,south,teacher,0,A,18.18,44763.35,2024-06-03
281,west,analyst,0,C,36.52,29456.42,2024-07-25
282,south,engineer,0,C,17.93,34619.61,2024-04-01
283,east,teacher,1,D,26.66,20298.62,2024-03-19
284,west,engineer,0,A,37.34,30407.71,2024-12-09
285,east,writer,0,C,28.34,23475.60,2024-05-23
286,north,analyst,1,A,27.40,55799.21,2024-03-06
287,south,writer,0,D,41.31,45371.86,2024-01-22
288,north,nurse,0,B,22.44,51184.63,2024-03-21
289,south,teacher,1,A,11.77,35907.83,2024-04-13
290,west,manager,1,B,18.65,44140.99,2024-03-17
291,north,manager,0,A,18.03,63806.53,2024-06-23
292,west,artist,0,B,116.14,39154.76,2024-09-13
293,east,engineer,1,E,64.83,43782.70,2024-05-18
294,west,manager,1,E,13.25,13345.10,2024-01-03
295,south,nurse,1,C,145.48,23978.15,2024-02-07
296,south,teacher,0,D,8.28,21948.41,2025-01-15
297,north,manager,1,D,16.77,49438.25,2024-10-30
298,south,nurse,1,A,35.52,64912.58,2024-02-21
299,west,driver,0,C,152.85,57332.60,2025-04-30
300,east,writer,0,D,18.65,23352.73,2024-09-17
